image_name| comment_number| comment
4892334228.jpg| 4| Một người phụ nữ buộc tóc đuôi ngựa đứng trước bức tường đỏ.
4931259260.jpg| 0| Hai chàng cao bồi đang cưỡi ngựa trói bê con trong khi những người khác đứng xem trong một sự kiện rodeo từ thiện.
4931259260.jpg| 1| Một người phụ nữ mặc áo ba lỗ màu hồng đang cưỡi ngựa trong một cuộc thi đấu rodeo.
4931259260.jpg| 2| Một người đàn ông đang cưỡi một con ngựa màu vàng nhạt trong một cuộc thi đấu Rodeo.
4931259260.jpg| 3| Một người đang cưỡi ngựa và quan sát mọi người.
4931259260.jpg| 4| Mọi người đang ở trong lồng cưỡi ngựa.
5274828176.jpg| 0| Hai đứa trẻ đang xúc tuyết gần một đống tuyết lớn trong khi đứa thứ ba đang quỳ trong đó.
5274828176.jpg| 1| Ba đứa trẻ đang cầm xẻng đứng trước một đống tuyết lớn.
5274828176.jpg| 2| hai đứa trẻ đang xúc tuyết và một đứa đang ngồi cạnh đống tuyết
5274828176.jpg| 3| Ba đứa trẻ nhỏ đang tạo nên một đống tuyết khổng lồ.
5274828176.jpg| 4| Ba thanh niên đang xúc một đống tuyết khổng lồ.
543007912.jpg| 0| Hai cô gái sinh đôi trẻ mặc trang phục màu xanh lá cây và cam giống nhau nhảy lên không trung.
543007912.jpg| 1| Hai cô gái sinh đôi mặc áo sơ mi cam và quần xanh đang nhảy.
543007912.jpg| 2| Hai đứa trẻ mặc quần áo giống hệt nhau nhảy ra ngoài.
543007912.jpg| 3| Hai anh em sinh đôi mặc áo sơ mi màu cam đang nhảy trên bạt lò xo.
543007912.jpg| 4| Hai cô gái mặc áo sơ mi màu cam.
5972486972.jpg| 0| Một đám đông lớn người Anh thời Elizabeth hóa trang đang theo dõi một trận đấu vật giữa những người đàn ông cởi trần.
5972486972.jpg| 1| Một nhóm người kéo nhau và ngã xuống đất, không mặc áo.
5972486972.jpg| 2| Một người đàn ông cởi trần mặc quần đen đang kéo chân một người đàn ông khác mặc quần xanh.
5972486972.jpg| 3| Một số người đàn ông không mặc áo đấu vật trên bãi cỏ trong khi đám đông đang theo dõi
5972486972.jpg| 4| những người hippie bán khỏa thân vật lộn trên cỏ
6562993653.jpg| 0| Một gia đình nhìn ra cửa sổ, ngắm nhìn đám đông người cầm ô vào ban ngày.
6562993653.jpg| 1| Một nhóm trẻ em và người lớn nhìn ra bên ngoài, ngắm nhìn những người đang đi bộ dọc theo bờ sông.
6562993653.jpg| 2| Người dân địa phương trong cộng đồng người Châu Á nhìn ra những con phố đông đúc.
6562993653.jpg| 3| Mọi người tụ tập quanh cửa sổ để nhìn ra đám đông lớn bên ngoài.
6562993653.jpg| 4| Một nhóm người đang nhìn ra ngoài cửa sổ vào một ngày nắng.
6915308239.jpg| 0| Một giáo viên tiểu học nam, đội mũ Ông già Noel, đang cho một lớp học châu Á xem bức vẽ Ông già Noel.
6915308239.jpg| 1| Một người đàn ông đứng trước lớp học sinh châu Á đang cầm trên tay bức ảnh Ông già Noel.
6915308239.jpg| 2| Một người đàn ông đội mũ ông già Noel giơ tấm ảnh lên trước lớp.
6915308239.jpg| 3| Một giáo viên da trắng giải thích về Ông già Noel cho một lớp học châu Á.
6915308239.jpg| 4| Một người đàn ông da trắng đang dạy một lớp học ở Châu Á.
7355491286.jpg| 0| Hai người đàn ông trên một chiếc xe nhỏ tham gia một cuộc đua đường phố với đám đông cổ vũ họ từ bên lề.
7355491286.jpg| 1| Hai người đàn ông mặc đồ bảo hộ đang lái một chiếc xe đua tốc độ về đích.
7355491286.jpg| 2| Hai tay đua trong một chiếc xe đua nhỏ với những người qua đường đứng ở phía sau.
7355491286.jpg| 3| Hai tay đua trên một chiếc xe đạp đua có chữ Cofain và số 5 trên đó.
7355491286.jpg| 4| Hai tay đua xe chuyên nghiệp trong một cuộc đua.
7484151790.jpg| 0| Một người đàn ông đang rê bóng rổ trên sân bóng rổ như thể anh ta sắp sửa ném bóng vào rổ.
7484151790.jpg| 1| Một người đàn ông châu Á mặc quần áo và giày đen đỏ đang rê bóng rổ trên sân.
7484151790.jpg| 2| Một người đàn ông đang chơi bóng rổ trong khi mặc áo đấu Jordan.
7484151790.jpg| 3| Người đàn ông châu Á mặc đồ đỏ và đen đang chơi bóng rổ.
7484151790.jpg| 4| Một người đàn ông Trung Quốc đang chơi bóng rổ.
751109943.jpg| 0| Một bé gái mặc váy ngẩng đầu ướt sũng ra khỏi xô.
751109943.jpg| 1| Một bé gái nhúng tóc vào xô nước.
751109943.jpg| 2| một cô gái trẻ đang nhấc mái tóc ướt của mình ra khỏi chiếc xô trắng
751109943.jpg| 3| Một bé gái nhúng đầu vào bát nước.
751109943.jpg| 4| Một cô gái đang làm ướt đầu mình trong một chiếc xô màu trắng.
